Start Year Capacities (MW),preexisting,preexisting nonretiring (not used in U.S. dataset),newly built
hard coal,1005869,0,0
natural gas nonpeaker,63168,0,0
nuclear,48740,0,0
hydro,327527,0,0
onshore wind,203953,0,0
solar PV,141670,0,0
solar thermal,0,0,0
biomass,11882,0,0
geothermal,33349,0,0
petroleum,399.0856944,0,0
natural gas peaker,27072,0,0
lignite,34761,0,0
offshore wind,5197,0,0
crude oil,91.05026304,0,0
heavy or residual fuel oil,1259.864043,0,0
municipal solid waste,11730,0,0
process heat,0,0,0
