,electricity,natural gas,petroleum gasoline,petroleum diesel,biofuel gasoline,biofuel diesel,jet fuel,heavy or residual fuel oil,LPG propane or butane,hydrogen
CO2,0,0,0.071653063,0,0.000000000,0,0.075436497,0,0,0
VOC,0,0,0.000055531,0,0.000051895,0,0.000013573,0,0,0
CO,0,0,0.000628440,0,0.000628440,0,0.000096301,0,0,0
NOx,0,0,0.000027904,0,0.000027904,0,0.000377366,0,0,0
PM10,0,0,0.000005441,0,0.000005441,0,0.000004659,0,0,0
PM25,0,0,0.000002181,0,0.000002181,0,0.000004659,0,0,0
SOx,0,0,0.000001159,0,0.000000324,0,0.000000536,0,0,0
BC,0,0,0.000000404,0,0.000000404,0,0.000001469,0,0,0
OC,0,0,0.000000764,0,0.000000764,0,0.000001401,0,0,0
CH4,0,0,0.000000528,5.27528E-07,0.000274315,0.000004115,0.000000528,0,0,0
N2O,0,0,0.000002110,2.11011E-06,0.000043257,0.000004115,0.000002110,0,0,0
F gases,0,0,0,0,0,0,0,0,0,0
